id,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
13759,HOTEL SAVOY,THANKSGIVING DAY DINNER,COMMERCIAL,"PHILADELPHIA, PA",BROADSIDE; ILLUS; COL; 6X7.75;,SECULAR HOLIDAY,TABLE D'HOTE HOLIDAY DINNER; PASTORAL SKETCHES AT TOP OF MENU;,1900-4967,1900-11-29T00:00:00Z,Savoy Hotel,,,COMPLETE,2,72
13761,CANADIAN PACIFIC RAILWAY COMPANY,BREAKFAST,COMMERCIAL,SS ALBERTA,CARD; ILLUS; COL; 4.75X7.25;,N/A,"NO PRINTED DATE; ""1900"" INSCRIBED FAINTLY IN PENCIL;",1900-4420,1900-01-01T00:00:00Z,Canadian Pacific Railway Company,,,COMPLETE,2,17
13806,HAAN'S,DAILY MENU,COMMERCIAL,"PARK ROW, [NY]",FOLDER; ILLUS; 5.5 X 7;,N/A,PRICED MENU; ILLUSTRATION OF PARK ROW BUILDING;,1901-1046,1901-04-01T00:00:00Z,Haan's,DOLLARS,$,COMPLETE,4,138
13807,CURRY & BURLINGAME,BILL OF FARE,COMMERCIAL,"CHAMBERS STREET, [NYC]",BROADSIDE; 5.5 X 7;,N/A,PRICED MENU;,1901-1051,1901-04-27T00:00:00Z,Curry & Burlingame,DOLLARS,$,COMPLETE,2,34
13810,UNION SQUARE HOTEL,DAILY MENU,COMMERCIAL,NYC,FOLDER; 7 X 11;,N/A,PRICED MENU;,1901-1054,1901-04-27T00:00:00Z,Union Square Hotel,DOLLARS,$,COMPLETE,4,243
13811,CAFE ST. DENIS,LUNCH,COMMERCIAL,NEW YORK,CARD; 5.5 X 11;,N/A,PRICED MENU; NOTE ABOUT PURITY OF WATER AND MILK;,1901-1056,1901-04-27T00:00:00Z,Cafe St. Denis,DOLLARS,$,COMPLETE,2,111
13812,CAFE ST. DENIS,DINNER,COMMERCIAL,NEW YORK,FOLDER; 7 X 11;,N/A,PRICED MENU; PRICED WINE LIST; NOTE ABOUT PURITY OF WATER AND MILK;,1901-1057,1901-04-27T00:00:00Z,Cafe St. Denis,DOLLARS,$,COMPLETE,4,778
13813,DAVID CAFE AND RESTAURANT,DINNER,COMMERCIAL,69 LIBERTY STREET [NYC],FOLDER; 6 X 9.75;,N/A,PRICED MENU; PRICED WINE LIST;,1901-1058,1901-04-27T00:00:00Z,David Cafe And Restaurant,DOLLARS,$,COMPLETE,4,285
13814,DAVID LUNCH COUNTER,DINNER,COMMERCIAL,69 LIBERTY STREET [NYC],CARD; 5.5 X 9.25;,N/A,PRICED MENU;,1901-1059,1901-04-27T00:00:00Z,David Lunch Counter,DOLLARS,$,COMPLETE,2,72
13815,HOTEL MARGARET,LUNCH,COMMERCIAL,COLUMBIA HEIGHTS,CARD; 4 X 6.75;,N/A,N/A,1901-1060,1901-04-27T00:00:00Z,Hotel Margaret,,,COMPLETE,2,33
13817,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COM,"EN ROUTE - SS ""LAHN""",CARD; ILLUS COL; 5.5 X 8.25;,N/A,MENU IN BOTH GERMAN & ENGLISH;,1901-1227,1901-05-10T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,74
13818,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COM,"EN ROUTE - SS ""LAHN""",CARD; ILLUS; COL; 5.5 X 8.25;,N/A,MENU IN BOTH GERMAN & ENGLISH;,1901-1228,1901-05-10T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,70
13819,NORDDEUTSCHER LLOYD BREMEN,DINNER,COM,"EN ROUTE - SS ""LAHN""",FOLDER; ILLUS; COL; 5.25 X 7.5;,N/A,MENU IN BOTH GERMAN & ENGLISH; MUSIC PROGRAM LISTED;,1901-1229,1901-05-10T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,4,34
13821,OCEANIC STEAMSHIP COMPANY,LUNCHEON,COM,EN ROUTE - SONOMA,BROADSIDE; EMBLEM; COL; 5.5.X 7;,N/A,N/A,1901-1235,1901-05-11T00:00:00Z,Oceanic Steamship Company,,,COMPLETE,2,36
13822,OCEANIC STEAMSHIP COMPANY,DINNER,COM,EN ROUTE - SONOMA [SECOND CABIN],BROADSIDE; EMBLEM; COL; 5.5 X 7;,N/A,N/A,1901-1236,1901-05-11T00:00:00Z,Oceanic Steamship Company,,,COMPLETE,2,27
13823,PULLMAN DINING CAR SERVICE,DINNER,COM,TOUR OF THE PRESIDENT TO THE PACIFIC COAST[4/20 TO 6/15 1901],CARD; ILLUS; 5.25 X 7.5;,COMPLIMENTARY/TESTIMONIAL,N/A,1901-1237,1901-05-11T00:00:00Z,Pullman Dining Car Service,,,COMPLETE,2,29
13824,OCEANIC STEAMSHIP COMPANY,DINNER,COM,EN ROUTE,BROADSIDE; EMBLEM; COL; 5.5 X 8.5;,N/A,N/A,1901-1238,1901-05-11T00:00:00Z,Oceanic Steamship Company,,,COMPLETE,2,36
13825,NORDEUTSCHER LLOYD BREMEN,MITTAGESSEN,COM,"EN ROUTE - SS ""LAHN""",CARD; ILLUS; COL; 5.5 X 8.25;,N/A,MENU IN BOTH BGERMAN & ENGLISH;,1901-1240,1901-05-11T00:00:00Z,Nordeutscher Lloyd Bremen,,,COMPLETE,2,16
13826,NORDDEUTSCHER LLOYD BREMEN,ABEND-ESSEN,COMMERCIAL,"EN ROUTE - SS ""LAHN""",CARD; ILLUS; COL; 5.5.X 8.25;,N/A,MENU IN BOTH GERMAN & ENGLISH;,1901-1241,1901-05-11T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,32
13827,NORDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,"EN ROUTE - SS ""LAHN""",CARD; ILLUS; COL; 5.5 X 8.25;,N/A,MENU IN BOTH GERMAN & ENGLISH;,1901-1242,1901-05-11T00:00:00Z,Nordeutscher Lloyd Bremen,,,COMPLETE,2,75
13828,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COM,"EN ROUTE - SS ""LAHN""",CARD; ILLUS; COL; 5.5 X 8.25;,N/A,MENU IN BOTH GERMAN & ENGLISH;,1901-1243,1901-05-11T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,66
13829,NORDDEUTSCHER LLOYD BREMEN,DINNER,COM,"EN ROUTE - SS ""LAHN""",FOLDER; ILLUS; COL; 5.5 X 8.25;,N/A,MENU IN BOTH GERMAN & ENGLISH; MUSIC PROGRAM INCLUDED',1901-1244,1901-05-11T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,4,28
13830,NORDDEUTSCHER LLOYD BREMEN,MITTAGESSES,COM,"EN ROUTE - SS ""NECTAR""",CARD ILLUS; COL; 5.5 X 8.25;,N/A,MENU IN GERMAN ONLY;,1901-1245,1901-05-11T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,11
13831,U.S.GOVERNMENT,PRESIDENTIAL TOUR TO THE PACIFIC COAST,GOV,EN ROUTE ABOARD RAILROAD,CARD; ILLUS; 5.5 X 7.5;,POL,SCREAMING EAGLE;,1901-1249,1901-05-01T00:00:00Z,U.S.Government,,,COMPLETE,2,29
13833,HOTEL NORTH,JULY FOURTH DINNER,COMMERCIAL,"AUGUSTA, ME",CARD; ILLUS; 4 X 7;,PATRIOTIC HOLIDAY,AMERICAN FLAG;,1900-3813,1900-07-04T00:00:00Z,Hotel North,,,COMPLETE,2,40
13834,CATSKILL MOUNTAIN HOUSE,JULY FOURTH DINNER,COMMERCIAL,NY,FOLDER; ILLUS; 5.5 X 7;,N/A,PHOTOGRAPHS OF VIEWS ON COVER;,1900-3814,1900-07-04T00:00:00Z,Catskill Mountain House,,,COMPLETE,4,61
13836,AMERICAN CHAMBER OF COMMERCE OF PARIS,SIXTH ANNIVERSARY BANQUET,PROF,"HOTEL CONTINENTAL, PARIS, FRANCE",FOLDER; ILLUS; COL; 5.25 X 4.25;,ANNIVERSARY,"FRENCH; WINES; RED, WHITE, AND BLUE AMERICN AND FRENCH FLAGS;",1900-3817,1900-07-04T00:00:00Z,American Chamber Of Commerce Of Paris,,,COMPLETE,3,21
13838,ALAMO HOTEL(?),JULY FOURTH DINNER,COMMERCIAL,"COLORADO SPRINGS, CO",CARD; ILLUS; 5 X 8;,PATRIOTIC HOLIDAY,AMERICAN FLAG;,1900-3821,1900-07-04T00:00:00Z,Alamo Hotel(?),,,COMPLETE,2,30
13839,ALAMO THE,BREAKFAST,COMMERCIAL,"COLORADO SPRINGS, CO",CARD; 4.5 X 7.25;,N/A,DATE WRITTEN BY FEB;,1900-3822,1900-07-04T00:00:00Z,Alamo The,,,COMPLETE,2,45
13840,ALAMO THE,LUNCHEON,COMMERCIAL,"COLORADO SPRINGS, CO",CARD; 4.5 X 7.25;,N/A,N/A,1900-3823,1900-07-04T00:00:00Z,Alamo The,,,COMPLETE,2,38
13841,IMPERIAL HOTEL LIMITED,DINNER,COMMERCIAL,"TOKYO, JAPAN",BROADSIDE; 4.5 X 6.75;,N/A,FRENCH; REQUEST THAT GENTLEMEN DO NOT SMOKE; CITY NOTED BY FEB;,1900-3824,1900-07-04T00:00:00Z,Imperial Hotel Limited,,,COMPLETE,2,12
13843,IMPERIAL HOTEL LIMITED,LUNCH,COMMERCIAL,"[TOKYO,JAPAN]?",BROADSHEET;4.5X6.5;,DAILY,MENU IN FRENCH;PLACE WRITTEN BY HAND PROBABLY BY FB;,1900-3832,1900-07-05T00:00:00Z,Imperial Hotel Limited,,,COMPLETE,2,11
13844,IMPERIAL HOTEL LIMITED,DINNER,COMMERCIAL,"[TOKYO,JAPAN]?",BROADSHEET;4.5X6.5;,DAILY,MENU IN FRENCH;PLACE WRITTEN BY HAND PROBABLY BY FB;,1900-3833,1900-07-05T00:00:00Z,Imperial Hotel Limited,,,COMPLETE,2,12
13845,WELLS RIVER FISH AND GAME CLUB,EIGHTH ANNUAL DINNER,SOC,"HALE'S TAVERN,WELLS RIVER,VT",FOLDER;ILLUS;5.25X6.25;,ANNIVERSARY,BUILDING;HUNTING GEAR AND GAME;NAMES;,1900-3837,1900-07-06T00:00:00Z,Wells River Fish And Game Club,,,COMPLETE,4,38
13846,NEW ROCKINGHAM,LUNCHEON,COMMERCIAL,NARRAGANSETT PIER RI,CARD;ILLUS;COL;5X7;,DAILY,COAT OF ARMS;,1900-3841,1900-07-07T00:00:00Z,New Rockingham,,,COMPLETE,2,38
13847,ALFRED MARSHAL,LARCHMONT TROLLEY PARTY LUNCH,OTHER: PRIVATE,"HOTEL ST.GEORGE,NYACK-ON-HUDSON,[NY]",CARD;ILLUS;COL;5.5X7.25;,"OTHER,(TROLLEY PARTY);",TROLLEY CAR;,1900-3842,1900-07-07T00:00:00Z,Alfred Marshal,,,COMPLETE,2,19
13848,PLANTERS HOTEL,BREAKFAST,COMMERCIAL,"ST LOUIS,MO",CARD;ILLUS;COL;6.75X8.75;,DAILY,"GRAND HOTEL,MACKINAC ISLAND,MICHIGAN PICTURED;COAT OF ARMS;DATE WRITTEN BY HAND,PROBABLY BY FB;",1900-3846,1900-07-08T00:00:00Z,Planters Hotel,DOLLARS,$,COMPLETE,2,153
13849,N/A,BREAKFAST,COMMERCIAL,NIAGARA TO THE SEA,CARD;ILLUS;4.25X7;,DAILY,"WINE LIST ON BACK;CANDLE STICK,CHAFING DISH,FOOD;",1900-3847,1900-07-08T00:00:00Z,?,DOLLARS,$,COMPLETE,2,84
13850,N/A,SUPPER,COMMERCIAL,NIAGARA TO THE SEA,CARD;ILLUS;4.25X7;,DAILY,"WINE LIST ON BACK;CANDLE STICK,CHAFING DISH,FOOD;DATE WRITTEN BY HAND PROBABLY FB;",1900-3849,1900-07-08T00:00:00Z,?,DOLLARS,$,COMPLETE,2,80
13852,NEW GLADSTONE,LUNCHEON,COMMERCIAL,NARRAGANSETT PIER RI,CARD; 5.0X7.0;,N/A,N/A,1900-3851,1900-07-08T00:00:00Z,New Gladstone,,,COMPLETE,2,34
13853,NEW GLADSTONE,DINNER,COMMERCIAL,NARRAGANSETT PIER RI,CARD; 5.0X8.0;,N/A,N/A,1900-3852,1900-07-08T00:00:00Z,New Gladstone,,,COMPLETE,2,44
13854,PRINCE OF WALES HOTEL,DINNER,COMMERCIAL,"SOUTHPORT,(ENGLAND?)",CARD; 5 X 7.25;,N/A,MENU AND DATE HANDWRITTEN; LOGO OF PRINCE OF WALES PLUMES;,1901-1452,1901-05-27T00:00:00Z,Prince Of Wales Hotel,,,COMPLETE,2,14
13855,OCEANIC STEAMSHIP CO.,LUNCHEON - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD VENTURA,CARD; 5.5 X 7;,N/A,LOGO; HANDWRITTEN;,1901-1456,1901-05-27T00:00:00Z,Oceanic Steamship Co.,,,COMPLETE,2,25
13856,OCEANIC STEAMSHIP CO.,BREAKFAST - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD VENTURA,CARD; 5.5 X 7;,N/A,LOGO; HANDWRITTEN;,1901-1457,1901-05-27T00:00:00Z,Oceanic Steamship Co.,,,COMPLETE,2,20
13857,OCEANIC STEAMSHIP CO.,DINNER - SECOND CABIN,COMMERCIAL,EN ROUTE ABOARD VENTURA,FOLDER; 5 X 7.25; ILLUS; COL;,N/A,SAILING SHIP AND FOOD ILLUSTRATION; PALE GEEN BACKGROUND;HANDWRITTEN; GOLDEN GATE ON BACK COVER;,1901-1459,1901-05-27T00:00:00Z,Oceanic Steamship Co.,,,COMPLETE,4,23
13861,CENTURY CLUB,DINNER,N/A,"CLEVELAND, OH",CARD; COL; ILLUS; 4.5 X 7;,N/A,FLORAL BORDER WITH BUTTERFLY; PLACE NOTED BY FEB;,1900-4058,1900-08-15T00:00:00Z,Century Club,,,COMPLETE,2,16
13862,SARATOGY RACING ASSOCIATION,NINTH ANNUAL LAWN PARTY,OTHER (SPORTING CLUB);,"SARATOGA, NY",CARD; ILLUS; COL; 3.5 X 5.75;,SOCIAL,FRENCH; PRICED CHAMPAGNES; ILLUSTRATION OF INDIAN; SOUVENIR OF LADIES' DAY; PLACE NOTED BY FEB;,1900-4061,1900-08-16T00:00:00Z,Saratogy Racing Association,,,COMPLETE,2,32
13863,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,SS KAMAKUKRA MARU,BROADSHEET;ILLUS;COL;5.5X8;,DAILY,HANDWRITTEN;FLAG;,1900-4062,1900-08-16T00:00:00Z,Nippon Yusen Kaisha,,,COMPLETE,2,14
13864,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,SS KAMAKUKRA MARU,BROADSHEET;ILLUS;COL;5.5X8;,DAILY,HANDWRITTEN;FLAG;,1900-4063,1900-08-16T00:00:00Z,Nippon Yusen Kaisha,,,COMPLETE,2,22
13865,LOHG BEACH HOTEL,DINNER,COMMERCIAL,"LONG BEACH, L.I., NY",CARD;ILLUS;5X8;,DAILY,ANIMAL FIGURE;,1900-4064,1900-08-16T00:00:00Z,Long Beach Hotel,,,COMPLETE,2,52
13867,NATIONAL ASSOCIATION OF BOX AND BOX SHOOK MAKERS,SEMI-ANNUAL MEETING AND DINNER,COMMERCIAL,"HOTEL VICTORY,PUT-IN-BAY ISLAND,LAKE ERIE,OH",FOLDER;ILLUS;5X6.75;,MEETING,ILLUSTRATION OF BOX;WINE ADDITIONAL CHARGE;,1900-4067,1900-08-17T00:00:00Z,National Association Of Box And Box Shook Makers,DOLLARS,$,COMPLETE,4,37
13870,BRITISH MUSEUM REFRESHMENT DEPARTMENT,BILL OF FARE,EDUC,"LONDON, ENGLAND",CARD;4X6;,DAILY,N/A,1900-4074,1900-08-18T00:00:00Z,British Museum Refreshment Department,,,COMPLETE,2,49
13873,OCEANIC STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,"2ND CABIN, SS SIERRA",CARD; ILLUS; COL; 5.5X6.75;,N/A,MENU HANDWRITTEN IN LAVENARD INK; STEAMSHIP COMPANY LOGO AT TOP OF MENU;,1901-1660,1901-06-15T00:00:00Z,Oceanic Steamship Company,,,COMPLETE,2,13
13878,MOUQUIN RESTAURANT AND WINE CO,BREAKFAST,COMMERCIAL,"20 ANN STREET, 149 FULTON ST, 454 SIXTH AVENUE",FOLDER; 8 X 14;,N/A,PRICED MENU; EXTENSIVE PRICED WINE LIST;,1901-1061,1901-01-01T00:00:00Z,Mouquin Restaurant And Wine Co.,DOLLARS,$,UNDER REVIEW,4,522
13882,THE PRESIDENT & DIRECTORS OF THE CONFEDERATION LIFE ASSOCIATION,DINNER,PROF,"TORONTO,CANADA",FOLDER; CIL; 4.25 X 7.75;,COMPL. TO STAFF,WINES NOTED FOR EACH COURSE; LIST OF TOASTS & MUSIC PROGRAM INCLUDED;,1901-1071,1901-04-29T00:00:00Z,The President & Directors Of The Confederation Life Association,,,COMPLETE,4,24
13886,COMMERCIAL CLUB OF CHICAGO,DINHNER,PROF,SPECIAL PULLMAN VESTIBULED TRAIN EN ROUTE TO BOSTON AND RETURN,CARD; 4.75 X 6.5;,N/A,APPEARS TO BE A TOUR OF SORTS; WINE LIST; NO PRICES;,1900-3505,1900-06-04T00:00:00Z,Commercial Club Of Chicago,,,COMPLETE,2,26
13887,SANTA FE ROUTE,LUNCHEON,COMMERCIAL,EN ROUTE,CARD; COL; 5 X 8;,DINING CAR SERV;,N/A,1900-3508,1900-06-01T00:00:00Z,Santa Fe' Route,DOLLARS,$,COMPLETE,2,40
13888,SOUTHERN RAILWAY - DINING CAR SERVICE,DINNER,COMMERCIAL,EN ROUTE,CARD; 5.5 X 6.5;,N/A,N/A,1900-3509,1900-06-01T00:00:00Z,Southern Railway Dining Car Service,,,COMPLETE,2,26
13890,RUSSELL HOUSE,DINNER,COMMERCIAL,"DETROIT,MICH.",BROADSIDE; ILLUS; COL; 5.5 X 8;,N/A,N/A,1900-3511,1900-06-01T00:00:00Z,Russell House,,,COMPLETE,2,48
13891,CAFE' BOULEVARD - CHATEAU HENRI IV,DINNER,COMMERCIAL,156 2ND AVE. NY,CARD; ILLUS; COL; 3.5 X 5.5;,N/A,MENU HANDWRITTEN IN PURPLE INK;,1900-3530,1900-06-04T00:00:00Z,Cafe' Boulevard Chateau Henri Iv,,,COMPLETE,2,15
13892,AMERICAN MEDICAL EDITORS' ASSOCIATION,DINNER,PROF,"HOTEL DENNIS, ATLANTIC CITY , NJ",CARD; RIBBON TRIM;4.5 X 6.25;,ANNUAL EVENT,N/A,1900-3531,1900-06-04T00:00:00Z,American Medical Editor's Association,,,COMPLETE,2,21
13894,ALUMNAE OF WILSON COLLEGE,BANQUET,EDUC,N/A,BOOKLET;ILLUS;COL;7X9;,N/A,DETAILED WOMAN ON COVER;TOASTS;NAMES;FASTENED AT LEFT BY RIBBON;,1900-3541,1900-06-05T00:00:00Z,Alumnae Of Wilson College,,,COMPLETE,8,14
13895,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,LUNCH,COMMERCIAL,SS GAELIC,BROADSIDE;ILLUS; 5.5X8.5;,N/A,HAND-WRITTEN;FLAG;,1900-3554,1900-06-06T00:00:00Z,Occidental & Oriental Steamship Company,,,COMPLETE,2,24
13896,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS GAELIC,FOLDER;ILLUS; 5.5X8.5;,N/A,"HAND-WRITTEN;FLAGS,ANCHORS,OTHERS;",1900-3555,1900-06-06T00:00:00Z,Occidental & Oriental Steamship Company,,,COMPLETE,4,31
13898,HOTEL VICTORY,SUNDAY DINNER (EVENING),COMMERCIAL,"PUT IN BAY ISLAND, OHIO",FOLDER; COL; 5.0X6.0;,N/A,PEA GREEN PAPER;,1900-3853,1900-07-08T00:00:00Z,Hotel Victory,,,COMPLETE,4,42
13899,HOTEL COLORADO,DINNER,COMMERCIAL,"GLENWOOD SPRINGS, CO",FOLDER; ILLUS; COL; 4.5X6.25;,N/A,"ILLU, WOMAN IN GOLFING OUTFIT, RED JACKET, GREEN AND RED PLAID SKIRT, FEDORA WITH FEATHER, TEEING UP WITH GOLF CLUB;",1900-3854,1900-07-08T00:00:00Z,Hotel Colorado,,,COMPLETE,4,36
13900,CATSKILL MOUNTAIN HOUSE,DINNER,COMMERCIAL,NEW YORK,FOLDER; ILLUS; COL; 5.5X7.0;,N/A,"ILLUS, FIVE PHOTOGRAPHIC VIEWS OF THE CATSKILL REGION AGAINST A BACKGROUND OF A BOUQUET OF FLOWERS;",1900-3855,1900-07-08T00:00:00Z,Catskill Mountain House,,,COMPLETE,4,61
13901,CATSKILL MOUNTAIN HOUSE,SUNDAY SUPPER,COMMERCIAL,NEW YORK,CARD; ILLUS; 4.5X8.0;,N/A,"ILLUS, PHOTOGRAPHIC VIEW OF ""MOUNTAIN HOUSE & LEDGE; DATE HAND WRITTEN [FEB?];",1900-3856,1900-07-08T00:00:00Z,Catskill Mountain House,,,COMPLETE,2,67
13902,HOTEL VICTORY,BREAKFAST,COMMERCIAL,"PUT IN BAY ISLAND, OHIO",BROADSIDE; 4.57.25;,N/A,"""BREAKFAAST"" EMBOSSED IN GOLD SCRIPT;",1900-3857,1900-07-08T00:00:00Z,Hotel Victory,,,COMPLETE,2,54
13905,HOTEL COLORADO,DINNER,COMMERCIAL,"GLENWOOD SPRINGS, CO",BROADSIDE; 5.5X7.0;,N/A,N/A,1900-3860,1900-07-09T00:00:00Z,Hotel Colorado,,,COMPLETE,2,35
13906,PLANTERS HOTEL,DINNER - A LA CARTE,COMMERCIAL,"ST. LOUIS, MO",FOLDER; ILLUS; COL; 5.5X8.0;,N/A,"ETCHING OF PLANTERS HOTEL ON FRONT; ETCHING OF GRAND HOTEL, MACINAC ISLAND, MI ON REAR;",1900-3862,1900-07-09T00:00:00Z,Planters Hotel,DOLLARS,$,COMPLETE,4,141
13907,HOTEL COLORADO,LUNCHEON,COMMERCIAL,"GLENWOOD SPRINGS, CO",BROADSIDE; 3.5X9.25;,N/A,"NOTE ON BOTTOM OF MENU: ""DURING POLO SEASON DINNER WILL BE SERVED FROM 6:30 TO 8:30;",1900-3863,1900-07-09T00:00:00Z,Hotel Colorado,,,COMPLETE,2,42
13908,CATSKILL MOUNTAIN HOUSE,BREAKFAST,COMMERCIAL,NEW YORK,CARD; ILLUS; 4.5X8.0;,N/A,"ILLUS, PHOTOGRAPHIC VIEW OF ""MOUNTAIN HOUSE & LEDGE; DATE HAND WRITTEN [FEB?];",1900-3864,1900-07-10T00:00:00Z,Catskill Mountain House,,,COMPLETE,2,73
13909,HOTEL COLORADO,BREAKFAST,COMMERCIAL,"GLENWOOD SPRINGS, CO",BROADSIDE; 5.5X7.0;,N/A,N/A,1900-3865,1900-07-10T00:00:00Z,Hotel Colorado,,,COMPLETE,2,55
13910,PLANTERS HOTEL,DINNER,COMMERCIAL,"ST. LOUIS, MO",FOLDER; ILLUS; COL; 5.5X8.0;,N/A,"ETCHING OF PLANTERS HOTEL ON FRONT; ETCHING OF GRAND HOTEL, MACINAC ISLAND, MI ON REAR;",1900-3866,1900-07-10T00:00:00Z,Planters Hotel,,,COMPLETE,4,42
13911,NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.,BREAKFAST,COMMERCIAL,ON BOARD SS NORTH LAND,FOLDER; ILLUS; 7.0X11.0;,N/A,"ILLUS, DRAWING OF STEAMER SET WITHIN FRAME;",1900-3867,1900-01-01T00:00:00Z,Northern Steamship Company/Great Northern Ry Line.,DOLLARS,$,COMPLETE,4,166
13912,RUSSELL HOUSE,TABLE D'HOTE,COMMERCIAL,"DETROIT, MI",BROADSIDE; ILLUS; COL; 4.5X7.0;,N/A,PURPLE PAPER; DOUBLE IMPERIAL EAGLE WITH CORONETS IN GOLD; ELVES FROLICKING IN WHITE; MENU ON WHITE PAPER GLUED TO THE PURPLE BACKGROUND;,1900-3868,1900-07-11T00:00:00Z,Russell House,,,COMPLETE,2,31
13913,NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.,DINNER,COMMERCIAL,ON BOARD SS NORTH LAND,FOLDER; ILLUS; 7.0X11.0;,N/A,"ILLUS, DRAWING OF STEAMER SET WITHIN FRAME; WINE LIST INCLUDED;",1900-3869,1900-07-11T00:00:00Z,Northern Steamship Company/Great Northern Ry Line.,DOLLARS,$,COMPLETE,4,213
13915,NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.,A LA CARTE,COMMERCIAL,ON BOARD SS NORTH LAND,FOLDER; ILLUS; 7.0X11.0;,N/A,"ILLUS, DRAWING OF STEAMER SET WITHIN FRAME;",1900-3871,1900-01-01T00:00:00Z,Northern Steamship Company/Great Northern Ry Line.,DOLLARS,$,COMPLETE,4,248
13916,NORTHERN STEAMSHIP COMPANY/GREAT NORTHERN RY LINE.,LUNCHEON,COMMERCIAL,ON BOARD SS NORTH LAND,CARD; ILLUS; 7.25X12.75,N/A,"ILLUS, DRAWING OF STEAMER SET WITHIN FRAME;",1900-3872,1900-07-11T00:00:00Z,Northern Steamship Company/Great Northern Ry Line.,DOLLARS,$,COMPLETE,2,107
13917,HOTEL VICTORY,EVENING DINNER,COMMERCIAL,"PUT IN BAY ISLAND, OH",FOLDER; ILLUS; COL; 4.25X6.25;,N/A,"COVER SAYS ""MENU SEASON OF 1900"";",1900-3873,1900-07-12T00:00:00Z,Hotel Victory,,,COMPLETE,4,39
13918,NATIONAL LIFE INSURANCE CO.,SEMI-CENTENNIAL CELEBRATION/LUNCHEON,PROF,"HOTEL CHAMPLAIN, CLINTON COUNTY, NY;",FOLDER; ILLUS; COL; 5.5X7.0;,N/A,"ILLUS. GLOBE WITH LEGEND ""THE BEST INSURANCE IN THE WORLD, ESTABLISHED 1850"" IN CLOUDS;",1900-3875,1900-07-12T00:00:00Z,National Life Insurance Co.,,,COMPLETE,4,41
13919,MENZIES HOTEL,LUNCHEON,COMMERCIAL,"MELBOURNE, AUSTRALIA",BROADSHEET;ILL;7X10;,DAILY,MENU ATTACHED TO OAKTAG SHEET;UNREALISTIC FISH AMONG FOLIAGE;HOTEL EMBLEM;,1900-4669,1900-10-11T00:00:00Z,Menzies Hotel,,,COMPLETE,2,30
13921,LONG BEACH HOTEL,SUPPER,COMMERCIAL,"LONG BEACH, L.I., NY",CARD; ILLUS; COL; 5 X 7;,DAILY,N/A,1900-4083,1900-08-18T00:00:00Z,Long Beach Hotel,,,COMPLETE,2,44
13922,LONG BEACH HOTEL,DINNER,COMMERCIAL,"LONG BEACH, L.I., NY",CARD; 5.0X8.0;,N/A,N/A,1900-4086,1900-08-19T00:00:00Z,Long Beach Hotel,,,COMPLETE,2,56
13923,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,ABOARD SS KASUGA,BROADSIDE; 5.5X7.75;,N/A,HAND WRITTEN;,1900-4089,1900-08-19T00:00:00Z,Nippon Yusen Kaisha,,,COMPLETE,2,15
13926,N/A,DINNER,N/A,N/A,FOLDER; ILLUS; COL; 5.5X6.5;,COMPLIMENTARY/TESTIMONIAL,"ILLUS, DRAWING OF CUT WATERMELON WITH KNIFE PLUNGED INTO FLESH OF WATERMELON; HAND WRITTEN: ""COMPLIMENTARY TO COMMODORE C. W. BLISS""; INSIDE COVER, TONGUE-IN-CHEEK DEDICATION TO COMMODORE C. W. BLISS AND HIS CREW;",1900-4096,1900-08-20T00:00:00Z,?,,,COMPLETE,4,35
13927,HOTEL VICTORY,BREAKFAST,COMMERCIAL,"PUT-IN-BAY ISLAND, LAKE ERIE, OH",BROADSHEET; 4.5X6.75;,N/A,N/A,1900-4097,1900-08-20T00:00:00Z,Hotel Victory,,,COMPLETE,2,55
